Event ID,Event Date,Brief Description,What Happened,Event Location,Latitude,Longitude,NZ Region,Where Happened,Sector,Number of Injured Persons,Vessel Class,Safety System,Country Flag,Gross Tonnage,Length Overall,Year of Build
EVT-3752,2/07/2022,"Crane grapple malfunctioned and partially opened while heaving logs, resulting in two logs falling from height into the ship's hold.",Lifting/Cargo gear failure,Port of Tauranga,-37.658478,176.18116,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Isle of Man,21530,179.9,2015
EVT-3774,2/07/2022,Equipment failures: MF/HF radio not operational due to a failure of the antenna tuning unit. Air compressor not operational. ,Equipment failure,Auckland harbour,-36.702451,174.841948,Auckland,In harbour,International Commercial,0,Cargo ship,ISM,Singapore,7775,NULL,2009
EVT-3755,3/07/2022,Members of ship's crew observed walking on the outer edge of the bulwark without harnesses or safety equipment.,Unsafe Operation or Act,Port of Tauranga,-37.658865,176.181074,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Singapore,23405,14011,2013
EVT-3756,3/07/2022,Vessel experienced main engine failure during departure from Auckland harbour. Tugs were deployed and pilot remained on vessel until it reached anchorage.,Propulsion failure,Auckland harbour,-36.834429,174.810759,Auckland,In harbour,International Commercial,0,Container ship,ISM,Liberia,39906,NULL,2010
EVT-3759,3/07/2022,"On departure from Wellington harbour, vessel's main engine failed.  Ship was brought to anchor with tug support and experienced ongoing engine issues before returning to berth.",Propulsion failure,Wellington harbour,-41.283819,174.790066,Wellington,In harbour,International Commercial,0,Container ship,ISM,Singapore,53807,NULL,2005
EVT-3761,3/07/2022,"Non compliant pilot ladder; during disembarkation, pilot noted that the steps were loose and rotated underfoot, in generally poor condition and in contradiction to the vessel's signed VAIS stating the ladder was in compliance with SOLAS standards.",Pilot Ladder Standards,Port of Tauranga,-37.599489,176.19609,Bay of Plenty,In harbour,International Commercial,0,General cargo/multi-purpose ship,ISM,Liberia,9611,NULL,2007
EVT-3760,5/07/2022,"Non-compliant trapdoor type pilot ladder arrangement, with the ladder not resting against the ships side. Pilot discussed with master and provided copies of regulations and solution used by other vessels with similar arrangements.",Pilot Ladder Standards,Lyttelton harbour,-43.568162,172.856262,Canterbury,Inshore,International Commercial,0,Container ship,ISM,Hong Kong,40168,259.8,2008
EVT-3937,5/07/2022,"While unhooking the hook and chain from the cranston on the wharf apron, the cranston has dropped which was attached to the ships crane severing stevedore's thumb. ",Injury,Port of Napier,-39.475127,176.921435,Hawke's Bay,At berth,International Commercial,1,Bulk carrier,ISM,Panama,22426,179.8,2016
EVT-3762,6/07/2022,"Heave of logs slipped while being loaded onto the vessel, hitting a digger operating in the vessel hold. No injuries were sustained in the incident.",Log Handling,Lyttelton port,-43.606158,172.723071,Canterbury,At berth,International Commercial,0,General cargo/multi-purpose ship,ISM,Liberia,23703,180,2019
EVT-3767,6/07/2022,Vessel capsized after being struck by swell while making a tight turn into Te Matuku bay.,Capsize,"Te Matuku Bay, Auckland",-36.846422,175.132166,Auckland,Inshore,Domestic Commercial,0,Aquaculture vessel,MOSS,New Zealand,NULL,12.5,2006
