lat,lon,date,Max temp,Min temp,Total Precip,Max daily precip,Rain days,Max sustained wind
-37.658478,176.18116,2022-07-02,61℉,43℉,0in,0in,0,11mph
-36.702451,174.841948,2022-07-02,57℉,48℉,0.02in,0.02in,1.0,14mph
-37.658865,176.181074,2022-07-03,58℉,40℉,0in,0in,0,16mph
-36.834429,174.810759,2022-07-03,57℉,45℉,0.01in,0.01in,1.0,11mph
-41.283819,174.790066,2022-07-03,57℉,48℉,0in,0in,0,16mph
-37.599489,176.19609,2022-07-03,58℉,39℉,0in,0in,0,16mph
-43.568162,172.856262,2022-07-05,52℉,37℉,0.00in,0.00in,1.0,9.2mph
-39.475127,176.921435,2022-07-05,59℉,39℉,0.01in,0.01in,1.0,14mph
-43.606158,172.723071,2022-07-06,53℉,30℉,0.01in,0.01in,1.0,16mph
-36.846422,175.132166,2022-07-06,60℉,50℉,0.86in,0.86in,1.0,15mph
-41.21243,174.320216,2022-07-06,55℉,43℉,0.06in,0.06in,1.0,19mph
-41.21243,174.320216,2022-07-06,55℉,43℉,0.06in,0.06in,1.0,19mph
-40.966667,173.966667,2022-07-07,52℉,46℉,0in,0in,0,18mph
-41.277067,173.771031,2022-07-07,50℉,42℉,0in,0in,0,8.6mph
-35.832208,174.486318,2022-07-08,68℉,61℉,1.2in,1.2in,1.0,16mph
-41.290553,174.479093,2022-07-08,61℉,47℉,0.60in,0.60in,1.0,28mph
-33.817847,173.066545,2022-07-08,63℉,59℉,0in,0in,0,43mph
-36.808975,174.953563,2022-07-10,64℉,53℉,0in,0in,0,13mph
-37.663461,176.175116,2022-07-11,56℉,52℉,0.48in,0.48in,1.0,22mph
-37.676306,176.1713,2022-07-11,56℉,52℉,0.48in,0.48in,1.0,22mph
-40.596667,170.593333,2022-07-11,56℉,55℉,0.37in,0.37in,1.0,40mph
-39.470565,176.911354,2022-07-11,52℉,47℉,0.19in,0.19in,1.0,15mph
-43.612908,172.717309,2022-07-12,50℉,44℉,2.5in,2.5in,1.0,23mph
-43.612908,172.717309,2022-07-12,50℉,44℉,2.5in,2.5in,1.0,23mph
-45.569633,166.777707,2022-07-14,51℉,40℉,0.08in,0.08in,1.0,18mph
-37.764522,175.265768,2022-07-14,56℉,49℉,0.24in,0.24in,1.0,10mph
-44.983467,168.667589,2022-07-14,44℉,34℉,0.13in,0.13in,1.0,9.2mph
-36.8414,174.783262,2022-07-15,60℉,50℉,0.29in,0.29in,1.0,18mph
-38.688299,178.003692,2022-07-15,55℉,48℉,1.3in,1.3in,1.0,21mph
-38.688299,178.003692,2022-07-15,55℉,48℉,1.3in,1.3in,1.0,21mph
-37.584456,176.213094,2022-07-16,58℉,43℉,0.02in,0.02in,1.0,15mph
-36.832439,175.71049,2022-07-16,58℉,43℉,0.01in,0.01in,1.0,15mph
-41.27784,174.8043,2022-07-16,51℉,41℉,0.34in,0.34in,1.0,16mph
-41.251645,173.254214,2022-07-16,51℉,35℉,0.01in,0.01in,1.0,9.2mph
-50.81755,166.203967,2022-07-17,51℉,45℉,0.02in,0.02in,1.0,38mph
-39.049541,174.046276,2022-07-17,56℉,35℉,0.03in,0.03in,1.0,11mph
-36.878298,175.044677,2022-07-17,57℉,42℉,0.10in,0.10in,1.0,6.9mph
-36.876794,175.045685,2022-07-17,57℉,42℉,0.10in,0.10in,1.0,6.9mph
-36.876794,175.045685,2022-07-17,57℉,42℉,0.10in,0.10in,1.0,6.9mph
-37.586076,176.217851,2022-07-18,57℉,39℉,0in,0in,0,8.0mph
-37.586484,176.216295,2022-07-18,57℉,39℉,0in,0in,0,8.0mph
-38.801457,178.387928,2022-07-18,59℉,46℉,0in,0in,0,22mph
-43.81,173.641667,2022-07-20,48℉,42℉,0.02in,0.02in,1.0,38mph
-36.827491,174.73352,2022-07-20,61℉,49℉,0.52in,0.52in,1.0,14mph
-41.07997,173.058177,2022-07-20,58℉,47℉,0.43in,0.43in,1.0,10mph
-45.736761,170.772836,2022-07-20,46℉,42℉,0.07in,0.07in,1.0,6.9mph
-41.268874,174.787122,2022-07-21,51℉,47℉,1.1in,1.1in,1.0,52mph
-37.664073,176.177283,2022-07-22,58℉,42℉,0in,0in,0,14mph
-42.635788,169.865351,2022-07-23,54℉,52℉,0.52in,0.52in,1.0,17mph
-37.640211,176.174161,2022-07-23,57℉,40℉,0in,0in,0,14mph
-41.679,175.3,2022-07-23,50℉,42℉,0.04in,0.04in,1.0,13mph
-35.778939,174.351638,2022-07-24,58℉,54℉,0.82in,0.82in,1.0,18mph
-36.419954,174.760403,2022-07-24,58℉,51℉,0.09in,0.09in,1.0,28mph
-46.359185,168.026088,2022-07-24,49℉,29℉,0.01in,0.01in,1.0,4.7mph
-46.359185,168.026088,2022-07-24,49℉,29℉,0.01in,0.01in,1.0,4.7mph
-46.728033,168.192317,2022-07-25,47℉,31℉,0.01in,0.01in,1.0,14mph
-35.285893,174.097962,2022-07-25,62℉,55℉,6.4in,6.4in,1.0,25mph
-37.639472,176.171564,2022-07-26,63℉,58℉,1.3in,1.3in,1.0,29mph
-43.24,174.53,2022-07-26,55℉,52℉,0.86in,0.86in,1.0,33mph
-45.823056,170.626944,2022-07-26,48℉,40℉,0.20in,0.20in,1.0,20mph
-41.277516,174.789482,2022-08-02,59℉,52℉,0.00in,0.00in,1.0,33mph
-37.58901,176.184097,2022-08-02,60℉,39℉,0in,0in,0,11mph
-37.589809,176.174428,2022-08-02,60℉,39℉,0in,0in,0,11mph
-37.591654,176.173387,2022-08-02,60℉,39℉,0in,0in,0,11mph
-43.028173,170.70617,2022-08-02,56℉,47℉,1.0in,1.0in,1.0,24mph
-41.635,170.573333,2022-08-03,57℉,56℉,0.02in,0.02in,1.0,24mph
-41.282872,174.005709,2022-08-04,57℉,49℉,0.00in,0.00in,1.0,23mph
-36.757783,176.225633,2022-08-04,62℉,41℉,0.01in,0.01in,1.0,9.4mph
-37.592991,176.186332,2022-08-04,64℉,42℉,0in,0in,0,10mph
-44.69080515,169.1327571,2022-08-05,64℉,46℉,0.15in,0.15in,1.0,22mph
-41.57983945,169.4641113,2022-08-06,59℉,55℉,0.54in,0.54in,1.0,31mph
-45.813261,170.625274,2022-08-06,59℉,43℉,0.02in,0.02in,1.0,13mph
-41.269286,174.787231,2022-08-06,59℉,54℉,0.03in,0.03in,1.0,31mph
-45.795465,166.60552,2022-08-06,56℉,53℉,0.21in,0.21in,1.0,27mph
-37.577245,176.180547,2022-08-07,61℉,53℉,0.01in,0.01in,1.0,11mph
-37.577245,176.180547,2022-08-07,61℉,53℉,0.01in,0.01in,1.0,11mph
-45.814105,170.627285,2022-08-07,53℉,37℉,0.47in,0.47in,1.0,17mph
-35.90139873,174.5486527,2022-08-07,72℉,54℉,0.45in,0.45in,1.0,13mph
-43.607624,172.689698,2022-08-07,63℉,40℉,0.27in,0.27in,1.0,27mph
-43.580001,172.841878,2022-08-07,63℉,39℉,0.31in,0.31in,1.0,30mph
-41.382094,174.714944,2022-08-08,48℉,45℉,0.96in,0.96in,1.0,43mph
-41.282865,174.007825,2022-08-09,49℉,44℉,0.31in,0.31in,1.0,26mph
-41.281198,174.782159,2022-08-09,51℉,47℉,1.0in,1.0in,1.0,34mph
-46.590017,168.334171,2022-08-10,48℉,24℉,0.03in,0.03in,1.0,10mph
-38.07,176.31,2022-08-10,58℉,42℉,0.01in,0.01in,1.0,10mph
-37.639579,176.166289,2022-08-11,58℉,44℉,0in,0in,0,13mph
-36.836493,174.792996,2022-08-12,53℉,40℉,0in,0in,0,17mph
-41.241464,174.216083,2022-08-13,52℉,40℉,0in,0in,0,14mph
-41.27435,174.788823,2022-08-13,52℉,39℉,0in,0in,0,18mph
